"Author","CommR"
"Sato__Elissa",2
"Sattler__Brook",72
"Satwicz__Tom",5
"Saul__E._Wendy",12
"Sawyer__R._Keith",7
"Scalone__Giovanna",5
"Scarongella__Mariateresa",33
"Schanze__Sascha",6
"Schellens__Tammy",15
"Scherr__Rachel_E.",120
"Schifter__Catherine",3
"Schlichter__Natalia",41
"Schneider__Daniel",71
"Schneider__Rebecca",127
"Schunn__Christian_D.",62
"Schwan__Stephan",77
"Schwartz__Daniel_L.",66
"Schwarz__Baruch",1
"Schwonke__Rolf",38
"Scopelitis__Stephanie",7
"Sederberg__David",123
"Segers__Mien",42
"Sengupta__Pratim",26
"Seow__Peter_Sen_Kee",24
"Severance__Charles",17
"Sha__Li",59
"Shaenfield__David",134
"Shaffer__David_Williamson",54
"Shane.Sagiv__Chava",131
"Shankar__Tara_Rosenberger",126
"Shao__Yin.Juan",19
"Shapiro__R._Benjamin",91
"Sharma__Priya",5
"Sharples__Mike",4
"Shea__Nicole",23
"Shechtman__Nicole",32
"Shelton__Brett",21
"Shemwell__Jonathan_T.",66
"Shen__Ji",2
"Sherin__Bruce",13
"Sherin__Miriam",13
"Shin__Namsoo",73
"Shouse__Andrew",5
"Shuman__Larry_J.",57
"Shute__Valerie",89
"Shutt__Kari",2
"Siewiorek__Anna",35
"Siewiorek__Nora",57
"Sikorski__Tiffany.Rose",28
"Silva__Brenda_Lopez",27
"Sinatra__Gale_M.",1
"Singer__Nancy",12
"Sinha__Suparna",4
"Sins__Patrick",158
"Sionti__Marietta",46
"Sipitakiat__Arnan",37
"Sisk.Hilton__Stephanie",47
"Slack__Kent",3
"Slof__Bert",14
"Slotta__James",15
"Smith__Ann",22
"Smith__Brian_K.",5
"Smith__Garrett",9
"So__Hyo.Jeong",24
"Solomon__Tanya_Cleveland",17
"Solomou__Maria",75
"Spada__Hans",1
"Squire__Kurt",3
"Srinivasan__Saranya",49
"Stahl__Gerry",1
"Starner__Thad",25
"Steinkuehler__Constance",3
"Steinmeier__Christopher",50
"Stevens__Maggie",40
"Stevens__Reed",7
"Stevens__Shawn",73
"Stieff__Mike",22
"Stigler__James",63
"Stockdill__Darin",45
"Strauss__Eric",10
"Strijbos__Jan.Willem",81
"Stringer__Daniel",8
"Strobel__Johannes",30
"Stromholt__Shelley",5
"Stylianou.Georgiou__Agni",108
"Sullivan__Sarah",9
"Svihla__Vanessa",2
"Svoboda__Julia",92
"Swain__Jeff",5
"Swanson__Hillary",2
"Swarat__Su",152
"Sylvan__Elisabeth",151
"Tabak__Iris",6
"Takeuchi__Lori",147
"Tan__Chee.Lay",19
"Tan__Ek_Ming",3
"Tang__Xiaowei",53
"Tasquier__Giulia",33
"Tatar__Deborah",32
"Tateishi__Isaku",55
"Taylor__Amy",34
"Taylor__Katie",13
"Teasley__Stephanie_D.",17
"Tempelaar__Dirk",42
"Teplovs__Christopher",59
"Terzian__Frederiki",6
"Teske__Paul",112
"Thompson__Belinda",63
"Tinelli__Liz",43
"Togrol__Aysenur_Yontar",95
"Toh__Yancy",24
"Tomory__Annette",30
"Torres__Robert_J",89
"Townsend__Eve",11
"Tretter__Thomas",34
"Tucker.Raymond__Eli",18
"Turley__Eric",12
"Turns__Jennifer",72
"Tzeng__Jeng.Yi",138
"Tzialli__Dora",58
"Tzou__Carrie",5
"Uttal__David",2
"Vahey__Phil",56
"van_Aalst__Jan",59
"van_de_Sande__Carla",137
"Van_Haneghan__James",65
"van_Joolingen__Wouter",2
"Van_Keer__Hilde",15
"van_Merriënboer__Jeroen",14
"van_Meter__Peggy",2
"Varma__Keisha",2
"Vatrapu__Ravi",1
"Vattam__Swaroop",4
"Vauras__Marja",35
"Velazquez__Griselda",56
"Visintainer__Tammie",2
"Vye__Nancy",2
"Wagler__Mark",93
"Walker__Erin",1
"Walker__Joan",100
"Walkoe__Janet",13
"Waltman__Rhonda",65
"Wang__Christine",1
"Wang__Yi.Chia",46
"Wang__Zhan",1
"Wardrip__Peter",91
"Watermann__Rainer",41
"Wawro__Megan",1
"Weaver__Kimberly_A.",25
"Weber__Nicole",30
"Wecker__Christof",61
"Weimar__Stephen",1
"Weinberg__Paul",51
"Weinstock__Michael",6
"Weiss__Michael",82
"Wen__Yun",24
"Wendell__Kristen_B.",18
"West__Richard",55
"Weusijana__Kofi",1
"White__Barbara",10
"White__Tobin",98
"Wichmann__Astrid",67
"Wiebe__Eric",2
"Wilensky__Uri",26
"Wiley__Jennifer",27
"Wilhelm__Pascal",4
"Wilkerson.Jerde__Michelle",26
"Williams__Joseph",10
"Wilson__Amy_A.",45
"Wink__Donald",29
"Winters__Victoria",111
"Wittmann__Michael",132
"Wong__Lung.Hsiang",19
"Wong__O_W",1
"Woodruff__Earl",90
"Woods__Eric",7
"Wopereis__Iwan",14
"Wright__Christopher_G.",18
"Wright__Geoff",55
"Wylie__Ruth",1
"Yasri__Pratchayapong",104
"Ye__Xiaoxuan",60
"Yen__Iris",34
"Yoon__Susan",50
"Yuen__Johnny",1
"Zacharia__Zacharias_C.",58
"Zafrulla__Zahoor",25
"Zahn__Carmen",16
"Zandieh__Michelle",1
"Zellner__Moira",5
"Zembal.Saul__Carla",10
"Zemel__Alan",1
"Zhang__Baohui",60
"Zhang__Bei",3
"Zhang__Helen",2
"Zhang__Jianwei",119
"Zhang__Sili",116
"Zimmerman__Heather",5
"Zuiker__Steven_J.",5
"Zviling.Beiser__Hilla",6
