"","x"
"Valcke__Martin",0
"van_Aalst__Jan",5785.09248264119
"Van_Aalst__Jan",0
"van_Bruggen__Jan",0
"van_de_Sande__Carla",0
"van_der_Meij__Hans",0
"van_Heijst__Hennie",0
"Van_Schooneveld__Jackie",0
"Vanderhoven__Ellen",0
"Vanover__Charles",0
"Vatrapu__Ravi",0
"Viilo__Marjut",0
"Villagra.Sobrino__Sara",87.7333333333334
"Vogel__Bahtijar",0
"Waddington__Richard",0
"Wagner__Christine",0
"Wake__Jo_Dugstad",0
"Walker__Erin",0
"Wan__Wing.San",0
"Wang__Joyce",0.25
"Wang__Lu",0
"Wang__Po.Hsien",0
"Wang__Xinghua",0
"Wang__Xueli",0
"Wang__Zhan",0
"Ward__Mary.Helen",0
"Wardrip__Peter",0
"Warnecke__Tim",0
"Wasson__Barbara",0
"Watt.Watson__Judy",0
"Wecker__Christof",166.449145299145
"Wegerif__Rupert",278
"Weibert__Anne",0
"Weinberger__Armin",0
"Wen__Yun",1.97222222222222
"Whittaker__Chris",828
"Wiley__Jennifer",0
"Wilkins__Jay",0
"Wilkins__Jesse_L.M.",0
"Winters__Niall",0
"Wise__Alyssa",828
"Wong_",0
"Wong__Lung.Hsiang",62.9555555555556
"Wong__Wai.Yat",0
"Wong__Wai_Yat",0
"Woo__David_James",0
"Wu__Chun.Ping",0
"Wu__Hsin.Kai",0
"Wu__I.Chia",0
"Wu__Jing",0
"Xie__Charles",0
"Xin__Cindy",0
"Xu__Hui",0
"Yacef__Kalina",0
"Yamaguchi__Etsuji",0
"Yamasaki__Kazuya",0
"Yang__Euphony_F._Y.",0
"Yang__Xianmin",0
"Yang__Yang",0
"Yeh__Charles_Y._C.",0
"Yeo__Jennifer",0
"Yip__Jane",0
"Yoo__Jaebong",0
"Yoon__Susan",5.25
"Yu__Fu.Yun",0
"Yu__Shengquan",0
"Yuen__Johnny",8.75
"Zahn__Carmen",0
"Zhan__Ying",0
"Zhang__Baohui",0
"Zhang__Jianwei",434.103033605716
"Zhang__Yonghe",0
"Zhao__Jian",0
"Zhao__Jianhua",138.5
"Zhao__Naxin",0
"Zhou__Nan",0
"Zin__Abdullah_Mohd",0
"Zottmann__Jan",0
"Zufferey__Guillaume",0
