"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Portsmore__Merredith",9,"","","","","","","","","","","","","","","","","","young.child","","","","","","","",""
"Russ__Rosemary",9,"","","","","","","","","","","","","","","","","","science.education","theoretical.framework","learning.science","","","","","",""
"Staszowski__Kevin",9,"","","","","","","","","","","","","","","","","","young.child","","","","","","","",""
"Cuevas__Haydee_M.",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Deng__Feng",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Fiore__Stephen",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Helak__John",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Lin__Xiuqin",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Marley__Scott",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Moreno__Roxana",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Noss__Richard",9,"","","","","","","","","","","","","","","","","","","learning.science","","","","","","",""
"Orrill__Chandra",9,"","","","","","","","","","","","","","","","","","","professional.development","learning.science","","","","","",""
"Schnotz__Wolfgang",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Scielzo__Sandro",9,"","","","","","","","","","","","","","","","","","","learning.environment","","","","","","",""
"Shelton__Brett",9,"","","","","","","","","","","","","","","","","","","university.student","design.based.research","learning.environment","","","","",""
"Sutch__Dan",9,"","","","","","","","","","","","","","","","","","","case.study","","","","","","",""
"Tzialli__Dora",9,"","","","","","","","","","","","","","","","","","","science.teacher","student.teacher","professional.development","","","","",""
"VanLehn__Kurt",9,"","","","","","","","","","","","","","","","","","","student.learning","","","","","","student.engagement",""
"Belenky__Dan",9,"","","","","","","","","","","","","","","","","","","","collaborative.learning","","","","","",""
"Buksh__Arzoo",9,"","","","","","","","","","","","","","","","","","","","learning.environment","","","","","",""
"Butera__Fabrizio",9,"","","","","","","","","","","","","","","","","","","","collaborative.learning","","","","","",""
"Butler__Ruth",9,"","","","","","","","","","","","","","","","","","","","collaborative.learning","","","","","",""
"Darnon__Celine",9,"","","","","","","","","","","","","","","","","","","","collaborative.learning","","","","","",""
"Dorsey__Chad",9,"","","","","","","","","","","","","","","","","","","","student.learning","","","","","",""
"El.Moslimany__Hebbah",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Farrar__Cathy",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
"Hershkowitz__Rina",9,"","","","","","","","","","","","","","","","","","","","case.study","problem.solving","","","","",""
"Hope__Jen",9,"","","","","","","","","","","","","","","","","","","","community.practice","","","","","",""
